matchId,makeTime,tier,blue_kill,red_kill,blue_gold,red_gold,blue_tower,blue_inhibitor,red_tower,red_inhibitor,blue_monster,red_monster,blue_firstBlood,blue_firstTower,blue_firstInhibitor,blue_firstBaron,blue_firstDragon,blue_firstRiftHerald,gameDuration,blue_win
4569533952,2020-08-11 14:49,BRONZE,54,69,93064,89222,-9,-4,-10,-1,"['RIFTHERALD', 'BARON_NASHOR', 'AIR_DRAGON', 'BARON_NASHOR', 'AIR_DRAGON', 'BARON_NASHOR']","['EARTH_DRAGON', 'WATER_DRAGON', 'AIR_DRAGON', 'AIR_DRAGON']",True,True,False,True,False,True,2696,0
4617914371,2020-09-02 15:42,BRONZE,28,14,41642,31564,0,0,-8,-1,"['RIFTHERALD', 'FIRE_DRAGON']","['EARTH_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']",True,True,True,False,False,False,1228,1
4624640515,2020-09-05 13:23,BRONZE,29,10,41679,28042,-1,0,-7,-1,"['AIR_DRAGON', 'RIFTHERALD']",[],True,True,True,False,True,False,1207,1
4603736070,2020-08-27 04:41,BRONZE,48,26,61243,50420,-3,0,-8,-1,"['EARTH_DRAGON', 'RIFTHERALD', 'AIR_DRAGON', 'BARON_NASHOR', 'FIRE_DRAGON']",[],True,True,True,True,True,True,1799,1
4620294151,2020-09-03 16:13,BRONZE,31,22,48503,39517,-1,0,-9,-1,"['FIRE_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']","['RIFTHERALD', 'WATER_DRAGON']",True,True,True,False,True,False,1454,1
4603707400,2020-08-27 05:18,BRONZE,40,50,56138,68747,-11,-3,-2,0,['RIFTHERALD'],"['RIFTHERALD', 'AIR_DRAGON', 'FIRE_DRAGON', 'EARTH_DRAGON', 'EARTH_DRAGON', 'BARON_NASHOR']",True,False,False,False,False,False,1997,0
4616331271,2020-09-01 21:49,BRONZE,23,7,34952,23756,0,0,-3,0,"['AIR_DRAGON', 'FIRE_DRAGON']",[],True,True,False,False,True,False,1053,1
4572257288,2020-08-12 19:41,BRONZE,34,38,56812,56381,-8,-2,-3,0,"['AIR_DRAGON', 'EARTH_DRAGON', 'BARON_NASHOR']","['FIRE_DRAGON', 'RIFTHERALD']",True,False,False,True,False,False,1741,0
4622107666,2020-09-04 14:07,BRONZE,37,34,59039,61495,-8,-1,-6,-1,"['RIFTHERALD', 'AIR_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON', 'FIRE_DRAGON']",['FIRE_DRAGON'],True,True,True,False,True,True,2043,0
4623373334,2020-09-04 22:21,BRONZE,27,39,49401,57029,-6,-2,-5,0,"['WATER_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']","['FIRE_DRAGON', 'RIFTHERALD', 'BARON_NASHOR', 'EARTH_DRAGON']",True,False,False,False,False,False,1790,0
4575374359,2020-08-14 07:02,BRONZE,21,5,38569,21591,-1,0,-10,-1,"['FIRE_DRAGON', 'AIR_DRAGON', 'RIFTHERALD']",[],True,True,True,False,True,True,1083,1
4601887766,2020-08-26 11:25,BRONZE,44,39,67627,66383,-8,-1,-6,-1,"['WATER_DRAGON', 'EARTH_DRAGON', 'BARON_NASHOR', 'EARTH_DRAGON']","['FIRE_DRAGON', 'RIFTHERALD', 'RIFTHERALD', 'EARTH_DRAGON']",False,True,True,True,False,False,2157,1
4587413532,2020-08-19 14:09,BRONZE,18,40,41758,55133,-8,-1,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD', 'AIR_DRAGON', 'RIFTHERALD', 'WATER_DRAGON', 'WATER_DRAGON', 'BARON_NASHOR']",False,False,False,False,False,False,1724,0
4613493789,2020-08-31 15:52,BRONZE,38,37,61914,56540,-6,-1,-9,-2,"['WATER_DRAGON', 'RIFTHERALD', 'FIRE_DRAGON', 'FIRE_DRAGON', 'BARON_NASHOR', 'FIRE_DRAGON']","['EARTH_DRAGON', 'RIFTHERALD']",True,False,False,True,True,True,1837,1
4606807582,2020-08-28 20:07,BRONZE,33,14,46593,33713,-1,0,-10,-2,"['RIFTHERALD', 'WATER_DRAGON', 'RIFTHERALD', 'FIRE_DRAGON']",['AIR_DRAGON'],False,True,True,False,False,True,1427,1
4605774879,2020-08-28 02:53,BRONZE,27,10,46331,30240,0,0,-5,0,"['AIR_DRAGON', 'RIFTHERALD', 'EARTH_DRAGON']","['WATER_DRAGON', 'RIFTHERALD']",True,True,False,False,False,False,1413,1
4619669024,2020-09-03 11:56,BRONZE,3,11,15846,29733,-6,0,0,0,[],"['FIRE_DRAGON', 'RIFTHERALD', 'WATER_DRAGON']",False,False,False,False,False,False,938,0
4581166625,2020-08-16 17:47,BRONZE,15,38,42145,56725,-11,-2,-2,0,"['AIR_DRAGON', 'RIFTHERALD', 'RIFTHERALD']","['WATER_DRAGON', 'EARTH_DRAGON', 'EARTH_DRAGON']",True,True,False,False,True,True,1675,0
4622080034,2020-09-04 13:10,BRONZE,27,38,61004,65524,-6,-1,-4,0,"['WATER_DRAGON', 'RIFTHERALD']","['AIR_DRAGON', 'RIFTHERALD', 'FIRE_DRAGON', 'FIRE_DRAGON', 'FIRE_DRAGON', 'ELDER_DRAGON']",False,False,False,False,False,False,2256,0
4570402340,2020-08-11 22:19,BRONZE,36,31,65018,66040,-7,-1,-8,-1,"['RIFTHERALD', 'RIFTHERALD', 'WATER_DRAGON', 'WATER_DRAGON']","['EARTH_DRAGON', 'FIRE_DRAGON']",False,False,False,False,False,True,2255,1
4620619301,2020-09-03 20:03,BRONZE,30,20,39009,36169,-1,0,-1,0,"['WATER_DRAGON', 'RIFTHERALD', 'AIR_DRAGON', 'RIFTHERALD', 'FIRE_DRAGON']",[],False,False,False,False,True,True,1231,1
4595492390,2020-08-23 05:52,BRONZE,35,28,68721,56745,-3,0,-11,-3,"['RIFTHERALD', 'BARON_NASHOR', 'ELDER_DRAGON']","['AIR_DRAGON', 'RIFTHERALD', 'FIRE_DRAGON', 'EARTH_DRAGON', 'EARTH_DRAGON']",True,False,True,True,False,False,2037,1
4620465190,2020-09-03 17:29,BRONZE,38,40,60517,65269,-9,-1,-3,0,"['EARTH_DRAGON', 'RIFTHERALD']","['AIR_DRAGON', 'FIRE_DRAGON', 'FIRE_DRAGON', 'FIRE_DRAGON']",True,True,False,False,False,False,2235,0
4618116648,2020-09-02 18:08,BRONZE,49,32,69546,57221,-3,0,-9,-2,"['EARTH_DRAGON', 'WATER_DRAGON', 'BARON_NASHOR', 'WATER_DRAGON', 'BARON_NASHOR', 'WATER_DRAGON']","['FIRE_DRAGON', 'RIFTHERALD', 'RIFTHERALD']",False,True,True,True,False,False,2022,1
4617343525,2020-09-02 09:47,BRONZE,26,45,49678,58788,-9,-2,0,0,"['FIRE_DRAGON', 'RIFTHERALD', 'AIR_DRAGON']","['RIFTHERALD', 'EARTH_DRAGON', 'AIR_DRAGON']",False,False,False,False,True,False,1918,0
4613237291,2020-08-31 12:35,BRONZE,15,31,34920,41723,-3,0,-1,0,"['FIRE_DRAGON', 'RIFTHERALD', 'RIFTHERALD']",['EARTH_DRAGON'],False,False,False,False,True,True,1350,0
